report_ending_weekly_starting,number_of_sessions,average_session_length,number_of_unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth,cumulative_sessions,cumulative_subscribers,cohort,sessions_per_user,GB_per_session,log_number_of_sessions,log_number_of_unique_clients,log_tb_downloaded,month
2022-08-07,3668886,00:23:14,208261,106.21,18.23,27244.46,3095068353,11606145,2022-08,17.616769342315653,0.03391765238821812,15.115398631718152,12.246547379762553,4.6654182663334485,8
2022-08-14,3752859,00:23:40,214463,112.34,19.64,27368.9,3098737239,11655953,2022-08,17.498864606015957,0.03516785469424778,15.138028507467345,12.275892508298885,4.721529987104287,8
2022-08-21,3296456,00:23:14,219238,96.87,15.99,27613.74,3105786554,11763607,2022-08,15.035970041689852,0.0342367682141063,15.00835850995665,12.297913176695527,4.573369873438294,8
2022-08-28,4047052,00:23:12,226977,116.79,19.69,27750.22,3109833606,11819266,2022-08,17.830229494618397,0.03372331267302719,15.213499272799423,12.332603969744259,4.760377450290474,8
2022-09-04,4055208,00:23:15,231135,119.57,20.07,27889.86,3113888814,11873405,2022-09,17.544759556103575,0.03443473183126487,15.215512538914027,12.350757234384064,4.7839019739314885,9
2022-09-11,4250937,00:22:55,231406,124.06,20.4,28034.31,3118139751,11922607,2022-09,18.370037941972118,0.033983095962137284,15.262649987188766,12.351929022532612,4.820765319544972,9
2022-09-18,4220300,00:22:52,230698,120.28,20.17,28174.77,3122360051,11970026,2022-09,18.293613295303818,0.033279624671231904,15.25541677353281,12.34886477485682,4.789822358120328,9
2022-09-25,4053315,00:22:55,227490,118.95,18.66,28312.39,3126413366,12012523,2022-09,17.81755241988659,0.033949989083009835,15.215045622797641,12.334861560363091,4.778703236748966,9
2022-10-02,4007644,00:22:47,229566,109.52,19.03,28440.93,3130421010,12056612,2022-10,17.457480637376616,0.032076202377257064,15.203714095446609,12.343945848838393,4.696107180980193,10
2022-10-09,4224905,00:22:57,237243,119.5,19.86,28440.39,3130421033,12102179,2022-10,17.808344187183604,0.03298535706720033,15.256507333313515,12.376840211295068,4.783316371371566,10
2022-10-16,4184761,00:23:10,238359,119.74,20.09,28440.39,3130421312,12102179,2022-10,17.556547057170068,0.03341409461615609,15.246960151553322,12.381533219517326,4.785322725497206,10
2022-10-23,4205425,00:23:10,238476,120.37,20.21,28440.39,3130421661,12197462,2022-10,17.634583773629213,0.03342825041464299,15.25188591643652,12.382023955316285,4.790570332391644,10
2022-10-30,4331459,00:23:04,245251,123.4,21.25,28440.39,3130421677,12248067,2022-10,17.6613306367762,0.03339521394523185,15.281414994724418,12.410037454891263,4.8154311114712876,10
2022-11-06,4555980,00:23:00,250342,124.21,22.4,28440.39,3130421677,12248067,2022-11,18.199023735529796,0.0321796847220576,15.331951213723947,12.430583261984879,4.821973681556102,11
2022-11-13,4243050,00:23:06,238843,123.01,19.96,28440.39,3130421753,12287309,2022-11,17.765017187022437,0.03369510140111476,15.260792908230043,12.383561711292142,4.8122656528806935,11
