,report_ending_weekly_starting,number_of_sessions,average_session_length,number_of_unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth,cumulative_sessions,cumulative_subscribers,sessions_per_user,GB_per_session,log_number_of_sessions,log_number_of_unique_clients,log_tb_downloaded,week
0,2020-01-05,23086410,00:04:07,683250,121.01,12.67,14353.83,2251215052,8461839,33.78911086717893,0.005790419558519493,16.954754690680485,13.434616103790315,4.7958731868099616,6
1,2020-01-12,23584159,00:04:07,640118,116.52,11.14,14501.59,2284581863,8502485,36.84345542540594,0.005412955365506143,16.976085815807362,13.369407813340873,4.758062932091234,6
2,2020-01-19,22004022,00:04:07,592715,114.5,10.52,14626.62,2306585885,8536567,37.12411867423635,0.005681688556755669,16.9067358127952,13.29246895536863,4.740574822994295,6
3,2020-01-26,20245042,00:04:15,602685,118.05,10.13,14754.79,2326830927,8571523,33.59141508416503,0.006331426726602988,16.823420482032564,13.309149951157442,4.771108263531522,6
4,2020-02-02,22356460,00:04:11,617337,120.69,10.94,14886.42,2349187387,8615640,36.21435293850846,0.005887783665213545,16.92262587529173,13.333170345027352,4.7932252746298065,6
5,2020-02-09,21393239,00:04:12,618210,121.23,10.85,15018.51,2370580626,8654392,34.605132560133285,0.006173913169483126,16.878585495494796,13.334583484544147,4.797689567758492,6
6,2020-02-16,21011376,00:04:14,612385,120.84,10.62,15149.96,2391592002,8694067,34.31072936143113,0.006256610704601165,16.860574563299195,13.325116448670782,4.794467356518472,6
7,2020-02-23,22624158,00:04:13,596994,122.66,11.11,15283.73,2414216160,8739567,37.896792932592284,0.005912706231984412,16.93452883138814,13.29966234207298,4.809416300197838,6
8,2020-03-01,22771143,00:04:14,609346,123.4,10.53,15418.32,2436987303,8783301,37.36980795804026,0.005881566858545484,16.94100463440852,13.320141529858232,4.8154311114712876,6
9,2020-03-08,22365295,00:04:13,601616,120.74,11.2,15549.59,2459352598,8822702,37.17536601420175,0.005899318564767422,16.923020985014723,13.307374647008787,4.79363947336828,6
10,2020-03-15,20527249,00:04:23,550203,121.56,10.65,15681.81,2479879847,8853950,37.308500680657865,0.0064407071790282275,16.83726378099063,13.21804258002045,4.800407968048592,6
11,2020-03-22,7590442,00:05:18,357837,58.84,4.62,15745.26,2487470289,8865469,21.212009937485504,0.008360514446984773,15.842400382195352,12.787832854436443,4.074821895733237,6
12,2020-03-29,4738574,00:06:13,269303,92.16,6.85,15844.27,2492208863,8872365,17.595697040136947,0.020894471627962336,15.371246804526804,12.503592418730214,4.523526196947581,6
13,2020-04-05,4589253,00:06:20,254145,92.44,6.93,15943.64,2496798116,8879407,18.057616714867496,0.021652761353536186,15.339227823694268,12.445660249260316,4.52655978540618,6
14,2020-04-12,4445147,00:06:24,243298,94.8,7.37,16045.8,2501305588,8886409,18.270380356599727,0.022984616706714086,15.307323497249454,12.402042308433677,4.551769409260976,6
15,2020-04-19,4507472,00:06:19,243055,88.74,6.93,16141.47,2505750735,8893373,18.54507004587439,0.021224757469375292,15.321247022171208,12.40104303416079,4.4857107459507635,6
16,2020-04-26,4461598,00:06:21,242168,89.45,7.08,16238.0,2510212333,8900552,18.423565458689836,0.02163574575746179,15.311017555787702,12.397386979159174,4.493679809954728,6
17,2020-05-03,4833406,00:05:57,255054,87.91,6.9,16332.8,2515045739,8908590,18.950520281979504,0.019615567159059263,15.391061953092436,12.449230566427465,4.476313563863087,6
18,2020-05-10,4888953,00:06:00,254860,88.18,6.84,16427.82,2519934692,8916603,19.18289649219179,0.019435654218807177,15.402488728096696,12.44846965376627,4.479380179929792,6
19,2020-05-17,5169365,00:05:50,262307,86.68,6.93,16521.43,2525104057,8925582,19.707308611664956,0.018108607150007786,15.458260414956602,12.477270852498492,4.462223176668158,6
20,2020-05-24,5272603,00:05:44,268006,83.89,6.45,16611.78,2530376660,8935352,19.673451340641627,0.017133852103031463,15.478034726469053,12.498764647302087,4.429506416858203,6
